date,sentiment_score,sentiment_positive,sentiment_negative,sentiment_neutral,news_count
2024-12-26,0.0595847722401635,0.2313864281556258,0.1718016559154623,0.5968119186064642,72.0
2024-12-27,-0.0135763719220433,0.2329279891983197,0.246504361120363,0.5205676445181955,57.0
2024-12-28,0.1049874959410064,0.2341179927914506,0.1291304968504442,0.6367515090646015,36.0
2024-12-29,-0.0178416341336237,0.2012910154234204,0.2191326495570441,0.5795763400900695,18.0
2024-12-30,0.0895614299815202,0.3075953067374834,0.2180338767559632,0.474370809379911,69.0
2024-12-31,0.0422193501493893,0.233120498585049,0.1909011484356597,0.575978351838421,80.0
2025-01-01,0.1007554863386277,0.2692905665498297,0.1685350802112019,0.5621743522725016,53.0
2025-01-02,0.1939556789067056,0.2757473255611128,0.0817916466544071,0.6424610323376125,45.0
2025-01-03,0.0657816553262598,0.1995785615660927,0.1337969062398329,0.666624536907131,33.0
2025-01-04,0.1106005408801138,0.2593232481740415,0.1487227072939276,0.591954064289374,28.0
2025-01-05,0.229881507034103,0.3301327947992831,0.10025128776518,0.5696159101401767,24.0
2025-01-06,0.1904716322477907,0.276914014276117,0.0864423820283264,0.636643598806113,100.0
2025-01-07,0.1123695245663088,0.3210010819787544,0.2086315574124455,0.4703673552426081,63.0
2025-01-08,-0.0765365426777862,0.1714034148026257,0.2479399574804119,0.5806566314771772,80.0
2025-01-09,-0.0283107572626092,0.2405721318827551,0.2688828891453643,0.4905449846460495,81.0
2025-01-10,-0.1533284577437573,0.1519035376769341,0.3052319954206914,0.5428644758821638,81.0
2025-01-11,-0.0265604343668029,0.1907653162205541,0.217325750587357,0.591908929567482,37.0
2025-01-12,0.0484244838356971,0.1958554373433192,0.1474309535076221,0.6567136193315188,15.0
2025-01-13,-0.0334171736612916,0.1784998361359943,0.2119170097972859,0.6095831552689726,55.0
2025-01-14,0.0523649056589132,0.2443668322368083,0.192001926577895,0.5636312429989246,76.0
2025-01-15,0.1496595053100272,0.2929474954052191,0.1432879900951918,0.5637645184046083,57.0
2025-01-16,0.2817170656760971,0.3734517890558231,0.0917347233797259,0.534813491956276,51.0
2025-01-17,0.131534201366206,0.2712562207380931,0.139722019371887,0.5890217629323403,75.0
2025-01-18,0.0122336278468169,0.2148169048784955,0.2025832770316786,0.5825998034026172,37.0
2025-01-19,0.2356529647617467,0.3630178954585322,0.1273649306967854,0.5096171631344727,28.0
2025-01-20,0.2618349984040833,0.361259301105747,0.0994243027016636,0.5393163949411246,128.0
2025-01-21,0.0664962212089449,0.224154328679045,0.1576581074701001,0.6181875604515275,120.0
2025-01-22,0.1720992535135823,0.2586859940959472,0.0865867405823648,0.654727265391856,73.0
2025-01-23,0.106788487954495,0.2271334369308673,0.1203449489763723,0.6525216155613844,65.0
2025-01-24,0.0352973896164999,0.232446918738316,0.1971495291218161,0.5704035529935801,54.0
