date,timestamp,open,high,low,close,volume,return,log_return,volatility_7d,ma_7,ma_30,momentum_7d,hl_range,hl_pct
2024-12-26,2024-12-26,99429.61,99963.7,95199.14,95791.6,21192.36727,0.0,0.0,0.0,95791.6,95791.6,0.0,4764.559999999998,0.0497388079956906
2024-12-27,2024-12-27,95791.6,97544.58,93500.01,94299.03,26501.26429,-0.0155814288517991,-0.015704095193978,0.0,95045.315,95045.315,0.0,4044.570000000007,0.0428908971810209
2024-12-28,2024-12-28,94299.03,95733.99,94135.66,95300.0,8385.8929,0.0106148493786204,0.0105589073939037,0.0185235659785792,95130.21,95130.21,0.0,1598.3300000000015,0.0167715634837355
2024-12-29,2024-12-29,95300.0,95340.0,93009.52,93738.2,13576.00578,-0.0163882476390346,-0.0165240203981765,0.0153626343130873,94782.2075,94782.2075,0.0,2330.479999999996,0.0248615825778604
2024-12-30,2024-12-30,93738.19,95024.5,91530.45,92792.05,27619.4225,-0.010093537106537,-0.0101448222429947,0.0126314449079146,94384.176,94384.176,0.0,3494.050000000003,0.0376546266625212
2024-12-31,2024-12-31,92792.05,96250.0,92033.73,93576.0,19612.03389,0.0084484608325821,0.0084129723294208,0.0131480747989858,94249.48,94249.48,0.0,4216.270000000004,0.0450571727793451
2025-01-01,2025-01-01,93576.0,95151.15,92888.0,94591.79,10373.32613,0.0108552406599982,0.0107967454739184,0.0133457162103145,94298.38142857145,94298.38142857145,0.0,2263.149999999994,0.0239254379264838
2025-01-02,2025-01-02,94591.78,97839.5,94392.0,96984.79,21970.48948,0.0252981786262846,0.0249834762622952,0.0159708289319243,94468.83714285714,94634.1825,1193.1899999999878,3447.5,0.0355468109999516
2025-01-03,2025-01-03,96984.79,98976.91,96100.01,98174.18,15253.82936,0.0122636755722211,0.0121890859126901,0.0142747492938107,95022.43,95027.51555555555,3875.149999999994,2876.9000000000087,0.0293040390049604
2025-01-04,2025-01-04,98174.17,98778.43,97514.79,98220.5,8990.05651,0.0004718144831972,0.0004717032137415,0.0142260060471196,95439.64428571428,95346.814,2920.5,1263.6399999999994,0.0128653387022057
