date,predicted_close,predicted_log_return
2026-03-06,71121.1340461358,0.003245000213147631
2026-03-07,71355.93359976039,0.003295965730682132
2026-03-08,71796.38404542931,0.006153610961928915
2026-03-09,72503.03329889293,0.009794286289113701
2026-03-10,73413.06558593844,0.012473525446591865
2026-03-11,74412.18869241618,0.013517829894488116
2026-03-12,75394.18485751768,0.013110393202189178
2026-03-13,76295.2156811077,0.01188008414193044
2026-03-14,77095.02208174168,0.01042848176972418
2026-03-15,77806.8621074014,0.009190915143644375
2026-03-16,78460.94527126635,0.008371359330620014
2026-03-17,79088.81464840146,0.007970468522598913
2026-03-18,79716.62380896672,0.007906686790086758
2026-03-19,80363.57293346882,0.008082856716833753
2026-03-20,81035.87264835402,0.008330928285845182
2026-03-21,81733.50859274266,0.008572130839404552
2026-03-22,82451.37067434433,0.008744613502445679
2026-03-23,83183.21619990424,0.008836925933481954
2026-03-24,83923.69498217686,0.00886239382425039
2026-03-25,84668.50978859783,0.008835754335175411
2026-03-26,85415.31944554078,0.008781722045085545
2026-03-27,86164.8756078786,0.008737149767041059
2026-03-28,86917.48952564475,0.008696653303071445
2026-03-29,87674.0372453201,0.00866654263187336
2026-03-30,88435.97217344024,0.008652996893753899
2026-03-31,89204.94996086939,0.008657718970177222
2026-04-01,89981.26675247874,0.008664970588798762
2026-04-02,90765.68974807217,0.008679846517212115
2026-04-03,91557.67742548967,0.008687780081379258
2026-04-04,92357.1859262436,0.008694387420052194
2026-04-05,93163.2801849812,0.008690139137191077
2026-04-06,93976.18648254898,0.00868776025738084
2026-04-07,94796.06936933905,0.008686531169478883
2026-04-08,95623.07507606136,0.008686215967904027
2026-04-09,96457.32296644765,0.008686499451081414
2026-04-10,97298.90389562749,0.008687062452636504
2026-04-11,98147.88513024102,0.008687649242989695
2026-04-12,99004.32007381975,0.008688113124552692
2026-04-13,99868.25575720865,0.008688388678130711
2026-04-14,100739.74113682969,0.008688495727722172
2026-04-15,101618.83059732342,0.008688487798122804
2026-04-16,102505.58418108075,0.008688418414128339
2026-04-17,103400.06720887613,0.00868833515333498
2026-04-18,104302.34863384467,0.008688267751740357
2026-04-19,105212.49909502918,0.008688226121343678
2026-04-20,106130.59012765108,0.008688212244544784
2026-04-21,107056.69269388914,0.008688214226944626
2026-04-22,107990.87820517244,0.008688230086143361
2026-04-23,108933.21700775562,0.008688243962942254
2026-04-24,109883.77962081035,0.008688251892541621
2026-04-25,110842.63782130546,0.00868825982214099
2026-04-26,111809.86334778598,0.00868826180454083
2026-04-27,112785.52877117443,0.00868825982214099
2026-04-28,113769.70773507378,0.008688257839741148
2026-04-29,114762.47452565843,0.008688255857341306
2026-04-30,115763.90384779044,0.008688251892541621
2026-05-01,116774.0717466338,0.008688251892541621
2026-05-02,117793.05447592029,0.008688251892541621
2026-05-03,118820.92895477972,0.008688251892541621
2026-05-04,119857.77301115228,0.008688253874941463
2026-05-05,120903.66491865361,0.008688255857341306
2026-05-06,121958.68339220647,0.008688255857341306
2026-05-07,123022.90807121461,0.008688255857341306
2026-05-08,124096.41929002384,0.008688255857341306
2026-05-09,125179.29808398617,0.008688255857341306
2026-05-10,126271.62619557686,0.008688255857341306
2026-05-11,127373.48608056485,0.008688255857341306
2026-05-12,128484.96091423708,0.008688255857341306
2026-05-13,129606.13408381469,0.008688251892541621
2026-05-14,130737.09124575177,0.008688255857341306
2026-05-15,131877.9172623629,0.008688255857341306
2026-05-16,133028.6982503427,0.008688255857341306
2026-05-17,134189.52107784947,0.008688255857341306
2026-05-18,135360.47337106237,0.008688255857341306
2026-05-19,136541.64352079618,0.008688255857341306
2026-05-20,137733.12068917343,0.008688255857341306
2026-05-21,138934.99481635503,0.008688255857341306
2026-05-22,140147.35662732946,0.008688255857341306
2026-05-23,141370.2976387613,0.008688255857341306
2026-05-24,142603.90988320144,0.008688253874941463
2026-05-25,143848.2867592159,0.008688253874941463
2026-05-26,145103.52220012405,0.008688253874941463
2026-05-27,146369.71124908066,0.008688255857341306
2026-05-28,147646.9492008026,0.008688255857341306
2026-05-29,148935.33246921198,0.008688255857341306
2026-05-30,150234.9583095492,0.008688255857341306
2026-05-31,151545.92482571444,0.008688255857341306
2026-06-01,152868.33097767315,0.008688255857341306
2026-06-02,154202.27658892612,0.008688255857341306
2026-06-03,155547.86235404486,0.008688255857341306
