date,predicted_close,predicted_log_return
2026-01-06,93607.43662097072,-0.0026913892471991255
2026-01-07,93133.2956742144,-0.005078077608592865
2026-01-08,92461.15064892881,-0.007243190485560575
2026-01-09,91658.53895436878,-0.008718424197006984
2026-01-10,90849.28894758379,-0.008868170967421303
2026-01-11,90041.39473455274,-0.008932462063014011
2026-01-12,89391.30858159042,-0.007246048076573358
2026-01-13,88747.1088504071,-0.007232606516590806
2026-01-14,88216.54637636863,-0.005996305434417462
2026-01-15,87671.27480378847,-0.006200239627076285
2026-01-16,87166.1933138497,-0.005777742041693669
2026-01-17,86648.28929694035,-0.0059592910996769015
2026-01-18,86119.19906464359,-0.0061249010604454415
2026-01-19,85606.06646372573,-0.005976221688272616
2026-01-20,85008.58688474412,-0.007003876978500898
2026-01-21,84416.8348409988,-0.006985426909211504
2026-01-22,83898.65427104152,-0.006157272985338954
2026-01-23,83373.24098271086,-0.006282167312241304
2026-01-24,82840.34305337854,-0.00641222867959272
2026-01-25,82296.55479089038,-0.0065859324612622975
2026-01-26,81752.78127282097,-0.006629414329211853
2026-01-27,81205.4514819029,-0.006717449493805226
2026-01-28,80655.01717103542,-0.006801369566122082
2026-01-29,80105.83725383237,-0.006832285825824081
2026-01-30,79537.87236038512,-0.0071154358806769305
2026-01-31,78961.32543434363,-0.007275108984517644
2026-02-01,78395.26957669134,-0.007194592629563687
2026-02-02,77835.6289523233,-0.007164306463977812
2026-02-03,77280.80531536377,-0.00715367144260631
2026-02-04,76732.1521894672,-0.007124795935489368
2026-02-05,76188.17867733374,-0.00711449947215041
2026-02-06,75648.60516155847,-0.007107313174864386
2026-02-07,75112.75033960286,-0.0071086794983528665
2026-02-08,74581.54331912418,-0.007097254508238762
2026-02-09,74053.85597743954,-0.007100456031221112
2026-02-10,73529.39620436924,-0.007107337357580996
2026-02-11,73008.25505107635,-0.0071127569730702125
2026-02-12,72490.53899230197,-0.007116460959164355
2026-02-13,71976.44542465621,-0.007117138075229444
2026-02-14,71465.64215748952,-0.007122113669172011
2026-02-15,70958.55662718996,-0.007120807802475055
2026-02-16,70455.2076579699,-0.007118841613266213
2026-02-17,69955.34590943149,-0.00712003261205927
2026-02-18,69459.21751373923,-0.007117340941352118
2026-02-19,68966.64744591781,-0.00711676458660624
2026-02-20,68477.50203804388,-0.007117763467150671
2026-02-21,67991.81716661404,-0.007117891769897131
2026-02-22,67509.60160703883,-0.0071175283574058485
2026-02-23,67030.8408511826,-0.007117009100740855
2026-02-24,66555.42710360464,-0.007117733910497036
2026-02-25,66083.39133632035,-0.007117641210083363
2026-02-26,65614.74837942417,-0.007116956033112738
2026-02-27,65149.4414534806,-0.007116763243121984
2026-02-28,64687.469969763035,-0.007116211071092716
2026-03-01,64228.79656601896,-0.007115864452154635
2026-03-02,63773.36935177955,-0.00711595983953682
2026-03-03,63321.166161499394,-0.0071160431355607
2026-03-04,62872.16564533918,-0.007116103592352226
2026-03-05,62426.349466977816,-0.007116094859704561
2026-03-06,61983.69100024678,-0.007116151286043318
2026-03-07,61544.169598948036,-0.007116180170954825
2026-03-08,61107.764480405334,-0.007116185544891849
2026-03-09,60674.45216620584,-0.007116213758061228
2026-03-10,60244.2127327416,-0.007116209055866332
2026-03-11,59817.0247077938,-0.007116198979734411
2026-03-12,59392.86800140409,-0.007116162705659495
2026-03-13,58971.719662028205,-0.00711615061430119
2026-03-14,58553.557796855384,-0.007116147927332677
2026-03-15,58138.36232040366,-0.00711612643158458
2026-03-16,57726.11101730745,-0.007116125088100324
2026-03-17,57316.78247069655,-0.00711613314900586
2026-03-18,56910.35653568665,-0.007116131133779477
2026-03-19,56506.812211061755,-0.0071161365077165
2026-03-20,56106.12910568846,-0.007116141209911397
2026-03-21,55708.28700959834,-0.007116144568622037
2026-03-22,55313.2660402787,-0.007116143225137781
2026-03-23,54921.046081712484,-0.007116143896879909
2026-03-24,54531.60745593804,-0.007116141209911397
2026-03-25,54144.93036602608,-0.007116139866427141
2026-03-26,53760.99515699455,-0.007116139866427141
2026-03-27,53379.78224306509,-0.007116142553395653
2026-03-28,53001.27232280365,-0.007116145240364165
2026-03-29,52625.44633767086,-0.007116145912106293
2026-03-30,52252.28529179162,-0.007116145912106293
2026-03-31,51881.77025353405,-0.007116146583848421
2026-04-01,51513.88249545779,-0.007116146583848421
2026-04-02,51148.60338781656,-0.007116146583848421
2026-04-03,50785.91436473544,-0.007116147927332677
2026-04-04,50425.79719667827,-0.007116146583848421
2026-04-05,50068.23364594809,-0.007116145240364165
