date,timestamp,open,high,low,close,volume,return,log_return,volatility_7d,ma_7,ma_30,momentum_7d,hl_range,hl_pct
2026-01-07,2026-01-07,93747.97,93747.97,90675.52,91364.16,14276.49025,0.0,0.0,0.0,91364.16,91364.16,0.0,3072.449999999997,0.03362861323302263
2026-01-08,2026-01-08,91364.16,91687.99,89311.0,91099.99,16132.79117,-0.0028913963637382523,-0.0028955845252425483,0.0,91232.07500000001,91232.07500000001,0.0,2376.9900000000052,0.026092099461262345
2026-01-09,2026-01-09,91100.0,92082.55,89694.66,90641.28,15590.27939,-0.0050352365571061375,-0.005047956075853812,0.001515923938510711,91035.14333333333,91035.14333333333,0.0,2387.8899999999994,0.026344398490400836
2026-01-10,2026-01-10,90641.27,90832.0,90404.0,90504.7,3104.11722,-0.0015068189681346489,-0.0015079553615388976,0.0017777718273764064,90902.5325,90902.5325,0.0,428.0,0.004729036171602138
2026-01-11,2026-01-11,90504.7,91283.89,90236.0,91013.65,5477.13594,0.005623464858730998,0.005607712208944919,0.004618031335453998,90924.75600000001,90924.75600000001,0.0,1047.8899999999994,0.01151354769312075
2026-01-12,2026-01-12,91013.66,92519.95,90128.44,91296.2,16188.08268,0.003104479383037706,0.003099670437196053,0.004391636499359362,90986.66333333333,90986.66333333333,0.0,2391.5099999999948,0.026195066169238095
2026-01-13,2026-01-13,91296.2,96495.0,91042.66,95414.0,23021.51482,0.04510373925749378,0.04411615250637421,0.018884167439591645,91619.14,91619.14,0.0,5452.3399999999965,0.0571440249858511
2026-01-14,2026-01-14,95413.99,97924.49,94559.28,96951.78,22851.89428,0.01611692204498283,0.01598842328794414,0.01755084552705457,92417.37142857142,92285.72,5587.619999999995,3365.2100000000064,0.03471014147445262
2026-01-15,2026-01-15,96951.78,97193.34,95134.48,95604.8,21725.81369,-0.013893298297359746,-0.01399071349755265,0.01917371600246279,93060.9157142857,92654.50666666667,4504.809999999998,2058.8600000000006,0.02153511120780547
2026-01-16,2026-01-16,95604.81,95871.47,94293.46,95550.94,11167.7146,-0.0005633608354392861,-0.0005635195827788953,0.018773355405178885,93762.2957142857,92944.15,4909.6600000000035,1578.0099999999948,0.016514855845478807
